Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
Mostly Cloudy,rain,13.28888889,13.28888889,0.7,14.6349,250,15.8746,1011.88
Overcast,rain,17.82222222,17.82222222,0.4,10.8675,40,16.1,1012.27
Mostly Cloudy,rain,29.86111111,28.42222222,0.27,17.4041,318,9.982,1018.83
Humid and Overcast,rain,20.10555556,20.10555556,0.92,10.1269,226,8.1305,1013.21
Partly Cloudy,rain,19.36666667,19.36666667,0.65,5.8926,107,15.1823,1012.93
Clear,snow,-0.227777778,-3.816666667,0.88,10.9963,270,9.982,1024.52
Partly Cloudy,rain,3.816666667,1.1,0.73,10.7387,170,16.1,1013.22
Breezy and Mostly Cloudy,rain,11.95,11.95,0.54,35.6132,150,16.1,1005.62
Mostly Cloudy,rain,7.977777778,6.216666667,0.83,10.0625,0,14.168,1009.72
Mostly Cloudy,rain,4.172222222,1.072222222,0.84,13.0571,169,8.1466,1019.83
Partly Cloudy,rain,17.73333333,17.73333333,0.84,3.0912,136,16.1,1014.51
Mostly Cloudy,snow,-0.933333333,-4.416666667,0.93,10.0142,159,3.7513,1020.09
Partly Cloudy,rain,6.577777778,6.577777778,0.86,3.2683,46,9.8049,1017.62
Partly Cloudy,rain,18.28888889,18.28888889,0.93,9.982,37,14.9086,1010.68
Partly Cloudy,rain,14.1,14.1,0.77,11.3022,343,14.168,1018.37
Mostly Cloudy,rain,8.761111111,8.761111111,0.8,3.3649,229,15.8263,1013.5
Overcast,rain,10.92777778,10.92777778,0.99,12.7029,101,3.703,1016.83
Partly Cloudy,rain,10.83888889,10.83888889,0.81,10.948,109,7.9051,1009.49
Partly Cloudy,rain,19.77222222,19.77222222,0.84,20.7368,320,11.2056,1015.46
Foggy,snow,-0.116666667,-4.105555556,1,12.8156,41,2.6887,1004.83
Partly Cloudy,rain,19.53888889,19.53888889,0.84,3.2844,44,15.3111,1015.16
Partly Cloudy,rain,19.95555556,19.95555556,0.61,20.3021,241,11.27,1006.74
Partly Cloudy,rain,20.51111111,20.51111111,0.93,6.44,50,14.9086,1015.13
Partly Cloudy,rain,5.366666667,5.366666667,0.77,0,0,7.6958,1024.83
Foggy,rain,2.938888889,0.444444444,1,9.0482,300,0.4347,1035.01
Partly Cloudy,rain,12.77777778,12.77777778,0.77,3.0751,80,,1016.13
Clear,rain,22.75555556,22.75555556,0.62,15.1501,232,10.3523,1010.22
Mostly Cloudy,rain,21.17777778,21.17777778,0.24,24.6813,29,10.3684,1014.91
Partly Cloudy,rain,18.88888889,18.88888889,0.7,6.44,160,16.1,1015
Partly Cloudy,rain,19.99444444,19.99444444,0.61,1.288,353,11.27,1018.78
Partly Cloudy,rain,11.00555556,11.00555556,0.56,20.125,10,15.1823,1019.67
Overcast,rain,18.81666667,18.81666667,0.93,7.9051,125,9.982,1014.83
Overcast,rain,10.55555556,10.55555556,0.93,25.76,0,8.05,1020.5
Partly Cloudy,snow,-1.7,-1.7,0.92,2.9463,172,14.9569,1018.42
Overcast,rain,5.555555556,1.172222222,0.82,25.76,160,15.134,1006.3
Mostly Cloudy,rain,27.14444444,27.41111111,0.48,11.3505,36,10.4006,1014.06
Partly Cloudy,rain,26.09444444,26.09444444,0.5,3.542,67,11.4471,1013.68
Clear,rain,7.705555556,7.222222222,0.76,4.8461,340,14.9569,1022.77
Mostly Cloudy,rain,24.42222222,24.42222222,0.3,10.7709,8,16.1,1021.6
Overcast,rain,17.17777778,17.17777778,0.87,3.1234,85,11.27,1016.32
Partly Cloudy,rain,16.13888889,16.13888889,0.87,3.1878,322,15.8263,1018.45
Partly Cloudy,rain,3.888888889,1.427777778,0.82,9.66,160,6.118,1022.9
Mostly Cloudy,rain,0.094444444,-2.45,0.85,7.5187,173,6.2951,1016.19
Mostly Cloudy,rain,21.97222222,21.97222222,0.77,11.1895,263,9.982,1004.84
Overcast,rain,16.69444444,16.69444444,0.96,9.6439,53,4.7978,1009.53
Mostly Cloudy,rain,8.75,7.3,0.72,9.2253,101,9.9015,1018.04
Mostly Cloudy,snow,0,-3.611111111,0.85,11.27,20,6.118,1026.3
Partly Cloudy,rain,10.63333333,10.63333333,0.71,8.372,124,14.9569,1019.28
Mostly Cloudy,rain,12.72777778,12.72777778,0.78,10.948,133,9.982,1010.19
Partly Cloudy,rain,25.82777778,25.82777778,0.31,8.05,326,11.4954,1012.12
Mostly Cloudy,rain,13.10555556,13.10555556,0.86,3.8962,166,15.5526,1013.92
Clear,rain,2.55,0.888888889,0.76,6.1019,171,15.8263,1025.63
Partly Cloudy,rain,28.00555556,27.97777778,0.44,20.7851,22,10.3523,1020.07
Mostly Cloudy,rain,17.23333333,17.23333333,0.58,20.0123,10,,1024.07
Overcast,rain,0.511111111,-5.211111111,0.96,24.8262,20,3.4293,1001.6
Partly Cloudy,rain,9.388888889,7.822222222,0.89,10.5294,139,11.9784,1021.21
Partly Cloudy,rain,25.03888889,25.03888889,0.65,12.7029,119,15.5526,1011.85
Overcast,snow,-3.333333333,-8.394444444,0.68,14.49,160,15.134,1032.5
Foggy,rain,2.177777778,-1.777777778,0.92,15.4077,171,2.576,1029.2
