Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
Overcast,rain,1.1111111111111112,-2.933333333333334,0.59,14.49,180.0,11.27,1031.8
Partly Cloudy,rain,,20.83333333333333,0.8,5.055400000000001,97.0,10.980200000000002,1001.99
Overcast,snow,-3.377777777777777,-7.6,0.81,10.948,50.0,5.9087000000000005,1004.85
Foggy,snow,-7.244444444444444,-11.161111111111111,0.96,7.824600000000001,91.0,2.5921000000000003,1004.09
Overcast,rain,5.0,2.438888888888889,0.93,11.125100000000002,358.0,11.0446,1013.8
Mostly Cloudy,rain,,11.71111111111111,0.81,17.6295,286.0,14.9569,1008.03
Clear,rain,12.33888888888889,12.33888888888889,0.66,1.3685,,9.982,1023.43
Partly Cloudy,rain,37.23888888888889,36.25,0.23,14.296800000000005,120.0,16.1,1010.48
Mostly Cloudy,rain,21.094444444444445,21.094444444444445,0.73,11.3183,329.0,9.982,1013.02
Partly Cloudy,rain,25.20555555555556,25.20555555555556,0.6,5.2647,309.0,11.2056,1017.62
Partly Cloudy,rain,12.33888888888889,12.33888888888889,0.92,7.905100000000001,189.0,9.982,1012.25
Mostly Cloudy,rain,12.994444444444444,12.994444444444444,0.73,10.980200000000002,294.0,15.552600000000002,1023.04
Mostly Cloudy,snow,-1.7944444444444447,-5.316666666666666,0.94,9.5634,,5.570600000000001,1020.24
Overcast,snow,-4.911111111111111,-8.344444444444443,0.86,7.631400000000001,117.0,3.7996,1035.0
Partly Cloudy,rain,22.22222222222222,22.22222222222222,0.28,17.71,300.0,9.982,1018.8
Partly Cloudy,rain,27.82222222222222,27.011111111111116,0.31,13.9587,141.0,16.1,1015.86
Overcast,rain,3.872222222222222,3.872222222222222,0.93,4.7656,38.0,3.3649,1016.66
Partly Cloudy,rain,17.55,17.55,0.74,7.776300000000001,171.0,9.982,1013.55
Mostly Cloudy,rain,14.061111111111112,14.061111111111112,0.99,6.7942,228.0,9.9015,1005.41
Partly Cloudy,rain,,,0.72,16.1,1.0,15.1823,1018.77
Partly Cloudy,rain,30.98333333333333,30.03333333333333,0.33,7.9373,29.0,10.3523,1019.16
Mostly Cloudy,rain,20.46111111111111,20.46111111111111,0.97,10.448900000000002,309.0,8.1305,1017.44
Partly Cloudy,rain,9.988888888888887,9.988888888888887,0.92,4.652900000000001,198.0,9.9015,1002.83
Partly Cloudy,rain,12.85,12.85,0.55,9.5634,251.0,11.2056,1015.37
Partly Cloudy,rain,17.22222222222222,17.22222222222222,0.52,9.66,300.0,11.27,1004.4
Foggy,rain,1.0611111111111091,-1.0166666666666655,0.93,6.617100000000001,163.0,0.1449,1016.72
Mostly Cloudy,rain,12.2,12.2,0.41,22.024800000000003,329.0,9.982,1015.5
Partly Cloudy,rain,25.0,25.0,0.5,20.93,140.0,11.27,1018.2
Foggy,snow,-5.0,-7.899999999999999,0.96,6.3112,169.0,0.805,1034.7
Mostly Cloudy,rain,18.600000000000005,18.600000000000005,0.78,3.719100000000001,314.0,15.3111,1011.94
Partly Cloudy,rain,15.577777777777776,15.577777777777776,0.9,3.22,320.0,16.1,1016.1
Mostly Cloudy,rain,10.283333333333331,10.283333333333331,0.7,27.2895,150.0,14.9086,1009.28
Partly Cloudy,rain,,3.0055555555555538,0.71,7.567000000000001,257.0,8.1305,1034.62
Partly Cloudy,rain,5.816666666666666,3.366666666666668,0.65,11.4149,322.0,15.150100000000002,1016.4
Mostly Cloudy,rain,14.911111111111111,14.911111111111111,0.9,3.2039,339.0,14.812,1015.53
Mostly Cloudy,rain,7.916666666666667,5.994444444444444,0.66,10.8675,291.0,10.2557,1009.8
Overcast,snow,-2.7777777777777777,-6.733333333333334,0.92,10.432800000000002,141.0,10.8836,1026.47
Clear,rain,7.594444444444445,4.361111111111112,0.9,19.9801,140.0,7.824600000000001,1002.37
Mostly Cloudy,rain,22.83333333333333,22.83333333333333,0.37,4.524100000000001,293.0,15.552600000000002,1019.13
Partly Cloudy,rain,8.977777777777776,5.655555555555555,0.58,24.8262,30.0,16.1,1019.98
Overcast,rain,4.749999999999998,2.3277777777777766,1.0,10.2074,139.0,3.880100000000001,1005.93
Partly Cloudy,rain,12.916666666666666,12.916666666666666,0.54,20.9139,270.0,9.982,1022.47
Mostly Cloudy,snow,-1.4388888888888889,-5.01111111111111,0.93,9.982,165.0,3.6708,1020.28
Clear,rain,29.92777777777778,29.122222222222224,0.35,7.4543,215.0,16.1,1019.72
Partly Cloudy,rain,18.86666666666666,18.86666666666666,0.52,7.5992,357.0,16.1,1017.51
Clear,rain,22.9,22.9,0.57,4.8783,105.0,15.520400000000002,1015.51
Mostly Cloudy,rain,,10.27777777777778,0.78,6.295100000000001,130.0,7.0357,1001.3
Foggy,rain,4.27777777777778,4.27777777777778,0.91,3.059,242.0,0.6762,1023.01
Partly Cloudy,rain,5.38888888888889,,0.91,8.758400000000002,170.0,12.3326,1019.79
Partly Cloudy,rain,17.666666666666668,17.666666666666668,0.52,11.9623,22.0,11.0768,1019.79
Partly Cloudy,rain,13.93888888888889,13.93888888888889,0.51,2.6887,209.0,8.1305,1023.8
Mostly Cloudy,rain,22.24444444444445,22.24444444444445,0.64,20.0928,330.0,10.2557,1014.78
Clear,rain,11.783333333333337,11.783333333333337,0.89,5.763800000000001,334.0,15.150100000000002,1017.71
Mostly Cloudy,snow,-0.9611111111111114,-3.266666666666666,0.92,6.3756,286.0,9.982,1013.25
Partly Cloudy,rain,12.066666666666666,12.066666666666666,0.72,6.44,190.0,6.0697,1019.5
Foggy,rain,17.200000000000003,,1.0,4.5563,245.0,0.8372,1011.44
Clear,rain,12.666666666666664,12.666666666666664,0.9,5.7799000000000005,63.0,14.812,1018.96
Foggy,rain,3.4888888888888894,0.6388888888888881,1.0,11.0446,20.0,2.9302,1023.62
Partly Cloudy,rain,15.97222222222222,15.97222222222222,0.79,12.6385,261.0,9.982,1018.11
Partly Cloudy,rain,16.783333333333335,16.783333333333335,0.77,6.7942,301.0,15.826300000000002,1016.34
Clear,rain,5.277777777777778,2.82777777777778,0.96,10.8675,342.0,11.8979,1018.05
Clear,snow,-7.316666666666667,-13.755555555555553,0.71,,41.0,16.1,1032.27
Mostly Cloudy,rain,17.17777777777778,17.17777777777778,0.64,2.9624,252.0,9.982,1014.52
Foggy,rain,1.6499999999999997,1.6499999999999997,0.93,3.9284,329.0,2.6887,1015.68
Partly Cloudy,rain,2.872222222222223,0.6500000000000009,0.89,8.0017,172.0,9.982,1012.58
Partly Cloudy,rain,22.58888888888889,22.58888888888889,0.56,10.0625,332.0,15.552600000000002,1021.15
Partly Cloudy,rain,11.666666666666666,11.666666666666666,0.83,0.0,0.0,9.982,1018.7
Overcast,rain,6.166666666666668,4.372222222222221,0.84,8.6135,246.0,10.7548,1018.91
Partly Cloudy,rain,13.961111111111112,13.961111111111112,0.74,0.0,0.0,15.826300000000002,1015.23
Mostly Cloudy,rain,3.938888888888891,0.9833333333333352,0.89,12.0267,303.0,8.05,1031.9
Partly Cloudy,rain,26.23333333333333,26.23333333333333,0.65,4.8783,109.0,9.982,1015.11
Overcast,rain,6.127777777777778,4.022222222222223,0.99,9.982,322.0,3.3327,1012.67
Clear,snow,-1.0666666666666675,-5.238888888888889,0.88,12.719,140.0,7.824600000000001,1028.98
Overcast,rain,3.838888888888887,0.7555555555555552,0.76,12.5902,118.0,9.982,1013.83
Overcast,rain,17.77777777777778,17.77777777777778,0.9,9.2253,350.0,8.1305,1011.85
Mostly Cloudy,rain,10.233333333333334,10.233333333333334,0.6,12.88,225.0,9.982,1023.25
Overcast,rain,5.072222222222224,3.238888888888888,0.82,7.969500000000001,201.0,11.125100000000002,1021.77
Partly Cloudy,rain,2.272222222222224,-0.8555555555555551,0.92,11.1895,243.0,6.295100000000001,1009.09
Partly Cloudy,rain,32.15555555555555,32.111111111111114,0.38,4.9910000000000005,224.0,10.3523,1013.79
Foggy,rain,2.955555555555556,0.3666666666666647,0.96,9.4668,160.0,0.805,1018.13
Mostly Cloudy,rain,24.922222222222224,24.922222222222224,0.35,15.4882,163.0,15.552600000000002,1008.87
Mostly Cloudy,rain,25.38888888888889,25.38888888888889,0.51,2.737,356.0,15.552600000000002,1012.86
Overcast,rain,5.972222222222222,5.972222222222222,0.77,4.7978000000000005,127.0,9.9015,1019.75
Clear,rain,17.17222222222222,17.17222222222222,0.25,7.1162,338.0,9.982,1027.49
Clear,rain,22.022222222222226,22.022222222222226,0.69,7.567000000000001,110.0,9.9015,1016.11
Partly Cloudy,rain,24.88333333333334,24.88333333333334,0.88,7.824600000000001,0.0,6.295100000000001,1015.69
Overcast,rain,9.994444444444447,8.255555555555555,0.86,,173.0,6.295100000000001,993.61
Partly Cloudy,rain,11.41111111111111,11.41111111111111,0.63,12.4453,128.0,14.9569,1015.86
Mostly Cloudy,rain,5.555555555555555,2.705555555555554,0.75,13.3791,349.0,15.1823,1027.8
Clear,rain,16.79444444444444,16.79444444444444,0.93,2.4633000000000003,23.0,5.216400000000001,1014.92
Mostly Cloudy,rain,10.577777777777776,10.577777777777776,0.88,6.5205,251.0,15.826300000000002,1005.07
Mostly Cloudy,,15.316666666666666,15.316666666666666,0.52,12.4775,6.0,,1025.07
Foggy,rain,3.333333333333333,1.4611111111111126,0.95,7.084000000000001,166.0,1.1431,1019.75
Foggy,rain,5.5777777777777775,4.161111111111112,0.96,6.7620000000000005,52.0,0.6279,1014.41
Overcast,snow,-0.0166666666666672,-5.611111111111112,0.7,22.620500000000003,310.0,10.5616,1009.2
Foggy,snow,-1.022222222222222,-4.800000000000001,1.0,11.109000000000002,137.0,0.2898,1023.54
Overcast,rain,14.81666666666667,14.81666666666667,0.68,12.3648,89.0,,1011.41
Mostly Cloudy,rain,3.0333333333333337,-0.1555555555555562,0.86,12.2199,163.0,5.5223,1019.88
Foggy,snow,-4.916666666666668,-8.394444444444444,0.99,7.744099999999999,356.0,1.2075,1026.62
Partly Cloudy,rain,23.81666666666667,23.81666666666667,0.41,12.7512,301.0,9.982,1017.32
Overcast,rain,16.049999999999997,16.049999999999997,0.93,9.6278,261.0,10.0303,1011.9
Foggy,snow,-2.055555555555556,-7.76111111111111,0.99,19.6581,189.0,2.1896000000000004,1013.82
Mostly Cloudy,rain,8.472222222222221,5.038888888888889,0.57,24.4559,32.0,16.1,1026.74
Clear,rain,18.88888888888889,18.88888888888889,0.7,11.27,330.0,16.1,1020.9
Partly Cloudy,rain,19.95,19.95,0.45,23.683100000000003,288.0,11.27,1016.91
Overcast,rain,1.1444444444444457,-1.0777777777777784,0.77,7.0679,336.0,,1028.65
Partly Cloudy,snow,-4.911111111111111,-9.961111111111112,0.57,12.9122,108.0,9.982,1027.62
Mostly Cloudy,rain,12.711111111111112,,0.72,6.1502,30.0,15.826300000000002,1018.68
Mostly Cloudy,rain,14.872222222222224,14.872222222222224,0.93,3.719100000000001,330.0,14.9569,1012.1
Overcast,rain,19.488888888888887,19.488888888888887,0.71,2.0286,217.0,15.826300000000002,1010.82
Clear,,8.22777777777778,8.22777777777778,0.77,1.0787000000000002,69.0,16.1,1018.97
Partly Cloudy,rain,11.666666666666666,11.666666666666666,0.67,13.7011,150.0,16.0517,1007.59
Mostly Cloudy,rain,22.2,22.2,0.59,4.9749,113.0,9.982,1015.91
Clear,rain,15.02777777777778,15.02777777777778,0.63,13.7655,149.0,9.982,1014.52
Partly Cloudy,rain,29.811111111111103,31.522222222222226,0.55,7.5348,1.0,11.4471,1015.59
Clear,,2.205555555555555,2.205555555555555,0.87,,347.0,0.0,1025.39
Partly Cloudy,rain,18.88888888888889,18.88888888888889,0.89,7.840700000000001,338.0,11.27,0.0
Partly Cloudy,rain,25.90555555555555,25.90555555555555,0.48,7.808499999999999,159.0,11.4471,1010.21
Clear,rain,20.494444444444444,20.494444444444444,0.87,0.0,0.0,15.826300000000002,1010.81
Mostly Cloudy,rain,12.82777777777778,12.82777777777778,0.64,4.395300000000001,105.0,9.982,1028.01
Partly Cloudy,rain,,19.97777777777777,0.87,2.9463000000000004,150.0,16.1,1015.1
Foggy,rain,7.205555555555555,7.205555555555555,1.0,3.22,350.0,0.5313000000000001,1023.27
Mostly Cloudy,rain,16.227777777777778,16.227777777777778,0.61,10.996300000000002,33.0,11.27,1017.87
Overcast,rain,6.133333333333333,3.616666666666666,0.54,12.1716,78.0,11.2056,1024.09
Partly Cloudy,rain,12.527777777777777,12.527777777777777,0.86,3.22,320.0,16.0517,1024.15
Overcast,rain,3.972222222222221,1.183333333333335,0.76,11.2056,300.0,10.0303,1017.5
Clear,rain,7.03888888888889,4.861111111111111,0.75,11.3183,348.0,15.1823,1029.2
Overcast,rain,7.266666666666666,7.266666666666666,0.93,4.7495,180.0,4.8783,1015.47
Partly Cloudy,rain,30.077777777777776,,0.28,21.1071,359.0,10.3523,1018.14
Breezy and Mostly Cloudy,rain,7.872222222222224,3.627777777777778,0.7,32.4898,10.0,16.1,1016.64
Overcast,rain,8.838888888888887,5.355555555555556,0.77,26.2752,301.0,11.4471,995.94
Clear,rain,1.5000000000000016,-1.7277777777777774,0.83,10.9319,140.0,15.778000000000002,1017.79
Overcast,rain,17.733333333333334,17.733333333333334,0.61,10.6904,318.0,15.826300000000002,1015.61
Clear,rain,18.916666666666668,18.916666666666668,0.78,10.6904,332.0,16.1,1021.97
Mostly Cloudy,rain,17.950000000000003,17.950000000000003,0.55,28.819,309.0,11.4471,1017.37
Mostly Cloudy,rain,19.90555555555555,19.90555555555555,0.57,17.549000000000003,273.0,16.1,1019.42
Mostly Cloudy,rain,14.86111111111111,14.86111111111111,0.44,21.847700000000003,162.0,10.3523,1015.68
Partly Cloudy,rain,12.033333333333331,12.033333333333331,0.96,3.059,218.0,14.828100000000004,1015.65
Mostly Cloudy,rain,28.788888888888884,27.555555555555557,0.27,9.338,141.0,9.982,1014.41
Clear,,3.494444444444444,2.3666666666666654,0.78,5.0715,28.0,,1034.29
Mostly Cloudy,rain,10.883333333333336,10.883333333333336,0.58,9.0804,51.0,11.27,1014.92
Overcast,rain,9.52777777777778,6.888888888888888,0.64,19.1107,180.0,9.9337,1007.79
Mostly Cloudy,rain,5.250000000000002,2.272222222222224,0.82,13.7494,175.0,8.855,1019.66
Mostly Cloudy,rain,2.2277777777777765,-0.7666666666666662,0.89,10.5455,153.0,5.2003,1019.45
Mostly Cloudy,rain,7.688888888888891,5.772222222222222,0.84,10.5938,140.0,15.826300000000002,1011.65
Clear,snow,-1.0388888888888894,-4.366666666666666,0.92,9.3863,160.0,3.9606,1032.21
Mostly Cloudy,rain,10.911111111111111,10.911111111111111,0.81,13.5401,347.0,7.567000000000001,1020.22
Partly Cloudy,rain,8.15,6.177777777777776,0.52,11.431,343.0,14.9569,1024.24
Partly Cloudy,snow,-10.488888888888887,-14.17222222222222,0.87,6.2146,52.0,6.0053,1033.73
Overcast,rain,18.79444444444444,18.79444444444444,0.79,17.1626,251.0,11.27,1011.95
Partly Cloudy,rain,30.0,28.68333333333333,0.29,11.27,310.0,9.982,1017.5
Mostly Cloudy,,7.827777777777779,4.649999999999999,0.89,19.964,200.0,9.982,1009.58
Mostly Cloudy,rain,22.344444444444445,22.344444444444445,0.7,9.8371,349.0,10.3523,1013.88
Clear,snow,-1.6722222222222232,-5.444444444444445,0.76,10.5616,305.0,14.9569,
Overcast,snow,-3.8333333333333326,-7.838888888888889,0.98,9.8854,253.0,4.250400000000001,1017.29
Partly Cloudy,rain,17.794444444444444,17.794444444444444,,22.2663,282.0,11.4471,1017.15
Overcast,rain,3.1555555555555554,0.1944444444444452,1.0,11.237800000000002,301.0,6.021400000000001,996.49
Partly Cloudy,rain,15.555555555555555,15.555555555555555,0.62,14.49,130.0,16.1,1017.9
Partly Cloudy,rain,22.24444444444445,22.24444444444445,0.62,5.3291,199.0,16.1,1012.44
Mostly Cloudy,rain,11.016666666666666,11.016666666666666,0.86,10.787,19.0,10.948,1002.7
Mostly Cloudy,rain,3.1333333333333337,0.5888888888888901,0.82,9.4185,166.0,10.8836,1004.91
Overcast,snow,-4.377777777777776,-7.205555555555555,0.82,6.3756,332.0,9.6761,1029.05
Partly Cloudy,rain,4.072222222222221,1.316666666666665,0.63,11.1734,212.0,9.982,1027.58
Partly Cloudy,rain,31.061111111111103,29.32222222222222,0.24,9.3219,315.0,9.982,1015.58
Overcast,rain,,1.5666666666666669,0.83,9.7405,39.0,14.168000000000005,1016.0
Mostly Cloudy,rain,18.766666666666666,18.766666666666666,0.99,4.0733,65.0,10.2235,1015.66
Partly Cloudy,rain,7.244444444444444,4.716666666666668,0.54,13.7172,1.0,16.1,1023.15
Mostly Cloudy,rain,15.933333333333334,15.933333333333334,0.57,9.338,183.0,9.982,1006.28
Clear,snow,-2.7333333333333343,-2.7333333333333343,0.85,3.22,10.0,15.6009,1023.22
Partly Cloudy,rain,22.77777777777778,22.77777777777778,0.66,8.05,130.0,9.982,1018.3
Partly Cloudy,rain,14.81666666666667,14.81666666666667,0.78,26.9353,300.0,11.27,1006.94
Overcast,rain,20.016666666666666,20.016666666666666,0.78,8.211,351.0,11.27,1006.75
Overcast,rain,7.605555555555554,5.005555555555555,0.89,14.7798,287.0,10.835300000000002,1004.73
Foggy,snow,-1.083333333333333,-1.083333333333333,0.92,4.6851,1.0,2.9463000000000004,1037.35
Mostly Cloudy,rain,10.0,7.022222222222222,0.5,24.15,290.0,11.27,1008.1
Overcast,rain,8.06111111111111,7.188888888888887,0.88,6.230700000000001,108.0,9.3863,1026.08
Partly Cloudy,rain,12.755555555555556,12.755555555555556,0.83,15.6009,337.0,11.2056,1013.97
Foggy,snow,-1.1388888888888893,-4.927777777777779,0.96,11.0446,160.0,1.932,1014.52
Overcast,rain,21.2,21.2,0.81,3.4132,114.0,9.982,1014.48
Partly Cloudy,rain,14.444444444444445,14.444444444444445,0.62,11.27,320.0,16.1,1021.1
Mostly Cloudy,rain,7.733333333333334,7.733333333333334,0.96,0.0,0.0,15.134000000000002,1018.51
Mostly Cloudy,rain,13.961111111111112,13.961111111111112,0.83,11.0124,298.0,11.2056,1016.82
Partly Cloudy,rain,18.89444444444445,18.89444444444445,0.67,7.953400000000001,11.0,11.27,1027.31
Overcast,rain,,12.2,1.0,8.3398,71.0,9.5956,1015.64
Overcast,rain,11.755555555555553,11.755555555555553,0.84,10.8031,299.0,14.329,1006.66
Partly Cloudy,rain,19.92777777777778,19.92777777777778,0.41,15.7619,30.0,9.982,1016.77
Overcast,rain,11.116666666666664,11.116666666666664,0.86,13.846,331.0,9.982,1012.11
Overcast,rain,7.733333333333334,5.377777777777777,0.96,13.3147,70.0,10.8031,1008.77
Mostly Cloudy,rain,1.0500000000000005,-1.9277777777777767,0.94,9.5795,166.0,5.3774,1019.19
Partly Cloudy,rain,12.8,12.8,0.41,22.1214,118.0,9.982,1022.31
Breezy and Partly Cloudy,rain,13.866666666666667,13.866666666666667,0.57,35.613200000000006,229.0,11.0768,1004.97
Mostly Cloudy,rain,22.266666666666666,22.266666666666666,0.3,25.4058,302.0,9.982,1010.8
Overcast,rain,1.0611111111111091,-2.627777777777778,0.96,12.6063,203.0,10.7709,1013.87
,rain,8.866666666666667,7.094444444444446,0.88,11.1573,20.0,11.2056,1018.16
Foggy,rain,4.394444444444442,1.7777777777777797,0.96,10.8031,,1.8837,1015.05
Foggy,rain,8.333333333333334,8.333333333333334,0.96,3.22,40.0,0.161,1018.7
Light Rain,rain,8.233333333333333,5.477777777777778,0.93,17.2109,345.0,3.059,1008.2
Clear,rain,22.17222222222222,22.17222222222222,0.55,5.2647,291.0,9.982,0.0
Partly Cloudy,rain,22.77777777777778,22.77777777777778,0.41,16.1,330.0,9.982,1018.2
Partly Cloudy,rain,21.2,21.2,0.56,9.0804,358.0,11.2056,1014.16
Overcast,rain,16.116666666666664,16.116666666666664,0.97,2.8497000000000003,306.0,6.0697,1010.48
Partly Cloudy,rain,8.638888888888888,6.449999999999999,0.9,13.524,130.0,9.9015,1022.21
Mostly Cloudy,rain,5.777777777777777,3.661111111111113,0.81,9.7405,154.0,,1018.45
Partly Cloudy,rain,17.105555555555554,17.105555555555554,0.75,17.516800000000003,318.0,9.982,1007.17
Clear,rain,7.527777777777776,5.255555555555556,0.77,12.4453,130.0,9.982,1019.21
Partly Cloudy,rain,28.838888888888885,27.944444444444443,0.33,12.6224,212.0,9.982,1018.77
Overcast,rain,,17.68333333333333,0.79,12.3165,331.0,10.2235,1013.5
Partly Cloudy,rain,15.655555555555557,15.655555555555557,0.99,5.1037,324.0,8.05,1016.63
Partly Cloudy,rain,14.488888888888887,14.488888888888887,0.77,6.7942,300.0,16.1,1016.03
Mostly Cloudy,rain,15.38888888888889,15.38888888888889,1.0,6.44,160.0,14.9086,1009.9
Partly Cloudy,rain,11.183333333333334,11.183333333333334,0.76,12.6868,280.0,10.2557,1018.33
Clear,rain,20.55,20.55,0.78,6.5688,248.0,15.826300000000002,1009.22
Partly Cloudy,rain,16.483333333333334,16.483333333333334,0.96,1.0143,342.0,11.6886,1017.11
Mostly Cloudy,rain,18.96111111111111,18.96111111111111,0.72,17.919300000000003,329.0,10.2557,1006.91
Partly Cloudy,rain,25.455555555555552,25.455555555555552,0.48,18.2896,150.0,10.3523,1006.97
Partly Cloudy,rain,11.994444444444447,11.994444444444447,0.59,8.6135,119.0,6.021400000000001,1018.0
Clear,rain,13.244444444444447,13.244444444444447,0.86,3.22,100.0,16.1,1017.1
Clear,snow,-9.86111111111111,-15.42222222222222,0.8,11.0446,21.0,10.0464,1026.17
Mostly Cloudy,rain,27.03333333333333,27.12222222222222,0.44,14.9408,291.0,15.552600000000002,1015.31
Mostly Cloudy,rain,2.116666666666668,-2.555555555555556,0.74,20.0123,359.0,15.552600000000002,1019.82
Partly Cloudy,rain,28.81666666666667,27.82777777777778,0.32,7.550900000000001,328.0,9.982,1016.38
Clear,rain,3.844444444444445,1.4333333333333325,0.7,9.4024,21.0,16.1,1033.53
Partly Cloudy,rain,10.45,10.45,0.84,6.488300000000001,339.0,16.0517,1018.65
Partly Cloudy,rain,18.616666666666667,18.616666666666667,0.92,3.4776,233.0,14.9569,1017.27
Overcast,rain,7.899999999999999,4.500000000000001,0.88,22.362900000000003,310.0,11.2056,1020.82
